Fecha,Hora,Delito,Delitos_code,POINT_X,POINT_Y,Area Policiaca
2016-08-01,12:20:00,5,Escalamiento,18.45464436,-66.06583563,San Juan
2016-08-01,01:30:00,6,Apropiacion Ilegal,18.39213906,-65.97541023,Carolina
2016-08-01,16:50:00,6,Apropiacion Ilegal,18.0502945,-66.54776912,Ponce
2016-08-01,23:00:00,6,Apropiacion Ilegal,18.05215086,-66.50629791,Ponce
2016-08-01,02:42:00,1,Asesinato,18.18871317,-65.81123755,Humacao
2016-08-01,10:35:00,6,Apropiacion Ilegal,18.2753504,-67.12019749,Mayaguez
2016-08-01,19:18:00,6,Apropiacion Ilegal,18.18574254,-65.96858316,Caguas
2016-08-01,04:36:00,4,Agresion Agravada,18.40651445,-66.07185885,San Juan
2016-08-01,14:10:00,9,Otros,18.26400844,-66.70049951,Utuado
2016-08-01,17:00:00,9,Otros,18.40674623,-65.98390678,Carolina
2016-08-01,17:00:00,5,Escalamiento,18.31694183,-67.19072324,Aguadilla
2016-08-01,21:26:00,4,Agresion Agravada,NA,NA,Humacao
2016-08-01,12:55:00,6,Apropiacion Ilegal,18.00872601,-66.5753803,Ponce
2016-08-01,07:44:00,9,Otros,NA,NA,Aguadilla
2016-08-01,12:09:00,9,Otros,NA,NA,Aguadilla
2016-08-01,08:35:00,5,Escalamiento,18.42326914,-66.06929673,San Juan
2016-08-01,20:00:00,6,Apropiacion Ilegal,18.0444914,-66.78968672,Ponce
2016-08-01,17:00:00,5,Escalamiento,18.08325061,-66.97225489,Mayaguez
2016-08-01,11:45:00,5,Escalamiento,18.42188779,-66.25000833,Bayamon
2016-08-01,01:42:00,3,Robo,18.4527938,-66.07762463,San Juan
2016-08-01,04:36:00,4,Agresion Agravada,18.40658642,-66.07176363,San Juan
2016-08-01,18:42:00,3,Robo,18.38758023,-66.08276844,San Juan
2016-08-01,14:02:00,5,Escalamiento,18.39043265,-66.03966746,San Juan
2016-08-01,15:14:00,8,Incendio Malicioso,18.48962563,-66.60631859,Arecibo
2016-08-01,15:00:00,5,Escalamiento,18.07599788,-66.3615087,Aibonito
2016-08-01,15:00:00,9,Otros,NA,NA,Aguadilla
2016-08-01,11:27:00,6,Apropiacion Ilegal,18.48336897,-66.39978095,Bayamon
2016-08-01,21:44:00,6,Apropiacion Ilegal,18.3978143,-66.03566338,San Juan
2016-08-01,09:30:00,6,Apropiacion Ilegal,18.4318454,-66.55269942,Arecibo
2016-08-01,16:51:00,6,Apropiacion Ilegal,18.40404899,-65.98351329,Carolina
2016-08-01,00:00:00,5,Escalamiento,17.98350478,-66.10411028,Guayama
2016-08-01,14:15:00,9,Otros,18.4458507,-67.14760298,Aguadilla
2016-08-01,00:58:00,6,Apropiacion Ilegal,18.45556653,-66.08671076,San Juan
2016-08-01,15:00:00,6,Apropiacion Ilegal,18.11919683,-66.14253586,Guayama
2016-08-01,17:00:00,6,Apropiacion Ilegal,18.38929274,-66.14160441,Bayamon
2016-08-01,15:30:00,4,Agresion Agravada,18.36764194,-66.08341222,San Juan
2016-08-01,23:50:00,6,Apropiacion Ilegal,18.39866809,-66.10134058,San Juan
2016-08-01,02:52:00,7,Vehiculo Hurtado,18.37190661,-66.1633505,Bayamon
2016-08-01,20:59:00,6,Apropiacion Ilegal,18.39740616,-66.00310583,San Juan
2016-08-01,13:00:00,6,Apropiacion Ilegal,NA,NA,Aguadilla
2016-08-01,13:00:00,9,Otros,18.3605203,-66.01996425,Carolina
2016-08-01,22:25:00,4,Agresion Agravada,18.05761962,-66.45696247,Ponce
2016-08-01,22:25:00,4,Agresion Agravada,18.05761962,-66.45696247,Ponce
2016-08-01,19:42:00,9,Otros,18.49169189,-67.09830815,Aguadilla
2016-08-01,09:26:00,6,Apropiacion Ilegal,18.40796464,-66.10274527,Bayamon
2016-08-01,22:29:00,3,Robo,18.33253419,-66.16618334,Bayamon
2016-08-01,02:50:00,6,Apropiacion Ilegal,18.21379849,-66.05308137,Caguas
2016-08-01,17:15:00,6,Apropiacion Ilegal,18.41720922,-66.26491196,Bayamon
2016-08-01,21:48:00,6,Apropiacion Ilegal,18.46932967,-66.72074784,Arecibo
2016-08-01,13:24:00,6,Apropiacion Ilegal,18.40672232,-66.02517452,San Juan
2016-08-01,20:05:00,6,Apropiacion Ilegal,18.03268704,-66.84882879,Ponce
2016-08-01,19:40:00,9,Otros,NA,NA,Aguadilla
2016-08-01,21:50:00,7,Vehiculo Hurtado,18.40997416,-66.05991098,San Juan
2016-08-01,14:30:00,7,Vehiculo Hurtado,18.38792941,-66.08295376,San Juan
2016-08-01,20:32:00,6,Apropiacion Ilegal,18.39362102,-66.14313414,Bayamon
2016-08-01,13:04:00,6,Apropiacion Ilegal,18.46479114,-66.1178559,San Juan
2016-08-01,15:30:00,9,Otros,18.20919373,-66.61964872,Utuado
2016-08-01,09:41:00,5,Escalamiento,18.48526231,-67.02898426,Aguadilla
2016-08-01,18:39:00,6,Apropiacion Ilegal,18.12252524,-65.98646709,Caguas
2016-08-01,22:22:00,5,Escalamiento,18.39866809,-66.10134058,San Juan
2016-08-01,21:00:00,5,Escalamiento,NA,NA,Aguadilla
2016-08-01,20:00:00,6,Apropiacion Ilegal,NA,NA,Aguadilla
2016-08-01,08:16:00,5,Escalamiento,18.37814853,-65.8676476,Fajardo
2016-08-01,07:37:00,9,Otros,NA,NA,Aguadilla
2016-08-01,05:00:00,6,Apropiacion Ilegal,18.28771863,-66.57362563,Utuado
2016-08-01,20:51:00,9,Otros,18.46938848,-67.07838882,Aguadilla
2016-08-01,23:10:00,3,Robo,18.46600801,-66.94442306,Arecibo
2016-08-01,10:55:00,6,Apropiacion Ilegal,18.40124567,-66.05380728,San Juan
2016-08-01,08:00:00,9,Otros,18.38885241,-65.96087717,Carolina
2016-08-01,11:18:00,6,Apropiacion Ilegal,18.42648156,-66.05336877,San Juan
2016-08-01,08:43:00,5,Escalamiento,18.38445385,-66.1647719,Bayamon
2016-08-01,02:17:00,9,Otros,18.43876799,-66.00686242,Carolina
2016-08-01,14:50:00,6,Apropiacion Ilegal,18.23258227,-66.03707047,Caguas
2016-08-01,23:40:00,6,Apropiacion Ilegal,18.01102654,-66.6134733,Ponce
2016-08-01,09:59:00,5,Escalamiento,18.44651497,-66.04548137,San Juan
2016-08-01,11:00:00,9,Otros,18.3605203,-66.01996425,Carolina
2016-08-01,17:20:00,6,Apropiacion Ilegal,18.40981905,-66.05504312,San Juan
2016-08-01,01:00:00,5,Escalamiento,18.46995231,-66.715655279999993,Arecibo
2016-08-01,02:50:00,9,Otros,NA,NA,Carolina
2016-08-01,22:43:00,7,Vehiculo Hurtado,18.40486683,-66.05460567,San Juan
2016-08-01,04:34:00,4,Agresion Agravada,18.43102148,-65.87838948,Carolina
2016-08-01,12:10:00,6,Apropiacion Ilegal,18.0262279,-66.53794713,Ponce
2016-08-01,01:40:00,9,Otros,NA,NA,Aguadilla
2016-08-01,19:22:00,9,Otros,18.21617425,-66.76014128,Utuado
2016-08-01,22:29:00,1,Asesinato,18.38617523,-65.86828738,Carolina
2016-08-01,09:00:00,6,Apropiacion Ilegal,NA,NA,Aguadilla
2016-08-01,01:41:00,3,Robo,18.40531518,-66.02577842,San Juan
2016-08-01,09:22:00,5,Escalamiento,18.17436978,-66.04462748,Caguas
2016-08-01,09:30:00,7,Vehiculo Hurtado,18.36912782,-66.02424322,Carolina
2016-08-01,23:30:00,4,Agresion Agravada,18.48453617,-66.81749167,Arecibo
2016-08-01,07:30:00,5,Escalamiento,NA,NA,Carolina
2016-08-01,15:00:00,6,Apropiacion Ilegal,18.21796691,-66.04024059,Caguas
2016-08-01,13:00:00,9,Otros,NA,NA,Carolina
2016-08-01,10:50:00,6,Apropiacion Ilegal,18.16971891,-66.16071033,Caguas
2016-08-01,01:56:00,7,Vehiculo Hurtado,18.39856624,-66.17445057,Bayamon
2016-08-01,20:00:00,2,Violacion,18.3984938,-66.19989799,Bayamon
2016-08-01,06:18:00,5,Escalamiento,18.45184879,-66.03985586,San Juan
2016-08-01,15:48:00,6,Apropiacion Ilegal,18.23865386,-66.04019445,Caguas
2016-08-01,16:00:00,9,Otros,NA,NA,Aguadilla
2016-08-01,02:20:00,5,Escalamiento,18.00738426,-66.56365848,Ponce
2016-08-01,03:27:00,6,Apropiacion Ilegal,18.45125877,-66.07508866,San Juan
2016-08-01,08:39:00,6,Apropiacion Ilegal,18.40974438,-66.05970919,San Juan
2016-08-01,23:00:00,5,Escalamiento,18.36015079,-65.72670957,Fajardo
2016-08-01,15:20:00,9,Otros,18.40404899,-65.98351329,Carolina
2016-08-01,03:00:00,5,Escalamiento,18.39776185,-65.96052771,Carolina
2016-08-01,20:00:00,6,Apropiacion Ilegal,18.0106625,-66.59956677,Ponce
2016-08-01,16:15:00,3,Robo,18.398899,-66.22152753,Bayamon
2016-08-01,22:14:00,6,Apropiacion Ilegal,18.39957014,-66.09110823,San Juan
2016-08-01,18:00:00,9,Otros,18.3763726,-65.92629705,Carolina
2016-08-01,16:42:00,4,Agresion Agravada,18.21823902,-66.5994648,Utuado
2016-08-01,14:17:00,9,Otros,NA,NA,Aguadilla
2016-08-01,18:47:00,6,Apropiacion Ilegal,18.42817945,-66.06478708,San Juan
2016-08-01,23:01:00,5,Escalamiento,NA,NA,Aguadilla
2016-08-01,03:26:00,3,Robo,NA,NA,Fajardo
2016-08-01,15:19:00,9,Otros,18.37568749,-65.94650007,Carolina
2016-08-01,12:17:00,6,Apropiacion Ilegal,18.30293558,-66.24646983,Bayamon
2016-08-01,14:30:00,6,Apropiacion Ilegal,17.97730835,-66.60260222,Ponce
2016-08-01,14:40:00,6,Apropiacion Ilegal,18.07721161,-66.79572884,Ponce
2016-08-01,16:00:00,4,Agresion Agravada,18.21348094,-65.77568204,Humacao
2016-08-01,16:00:00,9,Otros,18.39520519,-65.99779161,Carolina
2016-08-01,08:39:00,6,Apropiacion Ilegal,18.44653206,-66.06551361,San Juan
2016-08-01,14:00:00,6,Apropiacion Ilegal,18.48797708,-66.85617464,Arecibo
2016-08-01,17:50:00,5,Escalamiento,18.02065446,-66.59828257,Ponce
2016-08-01,11:40:00,3,Robo,18.4434601,-66.02524492,Carolina
2016-08-01,07:30:00,6,Apropiacion Ilegal,18.17493381,-65.8772456,Humacao
2016-08-01,01:27:00,6,Apropiacion Ilegal,18.27219594,-65.6404668,Fajardo
2016-08-01,19:22:00,9,Otros,18.21617425,-66.76014128,Utuado
2016-07-31,09:00:00,9,Otros,18.42824925,-65.87946491,Carolina
2016-07-31,18:57:00,5,Escalamiento,18.33373516,-65.73960486,Fajardo
2016-07-31,02:45:00,7,Vehiculo Hurtado,18.46629387,-66.3437624,Bayamon
2016-07-31,21:09:00,9,Otros,18.49489892,-67.02430371,Aguadilla
2016-07-31,16:00:00,6,Apropiacion Ilegal,18.44674311,-66.39420035,Bayamon
2016-07-31,22:59:00,6,Apropiacion Ilegal,18.37643071,-65.92814865,Carolina
2016-07-31,14:16:00,9,Otros,18.50975773,-67.09601694,Aguadilla
2016-07-31,17:20:00,9,Otros,18.27029295,-65.87842233,Carolina
2016-07-31,02:09:00,9,Otros,NA,NA,Aguadilla
2016-07-31,18:43:00,7,Vehiculo Hurtado,18.23703171,-66.04057926,Caguas
2016-07-31,23:38:00,5,Escalamiento,18.39112524,-65.95971301,Carolina
2016-07-31,07:00:00,6,Apropiacion Ilegal,18.472964,-66.75649367,Arecibo
2016-07-31,22:00:00,7,Vehiculo Hurtado,18.43851861,-66.53984332,Arecibo
2016-07-31,15:00:00,9,Otros,18.32409924,-67.01560818,Aguadilla
2016-07-31,23:56:00,6,Apropiacion Ilegal,18.36987942,-66.1102618,Bayamon
2016-07-31,03:39:00,9,Otros,NA,NA,Aguadilla
2016-07-31,11:01:00,5,Escalamiento,18.45234123,-66.04294395,San Juan
2016-07-31,22:00:00,6,Apropiacion Ilegal,18.30811172,-66.40929833,Arecibo
2016-07-31,14:19:00,5,Escalamiento,18.42401045,-66.92272791,Arecibo
2016-07-31,16:02:00,9,Otros,NA,NA,Aguadilla
2016-07-31,14:04:00,5,Escalamiento,NA,NA,Carolina
2016-07-31,14:52:00,9,Otros,NA,NA,Aguadilla
2016-07-31,17:53:00,5,Escalamiento,18.23808452,-66.03576087,Caguas
2016-07-31,06:11:00,1,Asesinato,18.43326893,-66.04831964,San Juan
2016-07-31,12:33:00,6,Apropiacion Ilegal,18.19674123,-66.26875211,Aibonito
2016-07-31,21:59:00,6,Apropiacion Ilegal,18.38143333,-65.96266378,Carolina
2016-07-31,12:29:00,4,Agresion Agravada,18.11353797,-66.16167694,Guayama
2016-07-31,22:49:00,9,Otros,18.46709472,-67.03568188,Aguadilla
2016-07-31,16:55:00,4,Agresion Agravada,NA,NA,Humacao
2016-07-31,02:40:00,9,Otros,NA,NA,Aguadilla
2016-07-31,01:08:00,5,Escalamiento,18.43521466,-66.17774768,Bayamon
2016-07-31,19:47:00,9,Otros,18.21649679,-66.57460053,Utuado
2016-07-31,21:06:00,9,Otros,NA,NA,Carolina
2016-07-31,14:58:00,9,Otros,18.37201856,-67.04498583,Aguadilla
2016-07-31,13:00:00,7,Vehiculo Hurtado,18.47449553,-66.75619879,Arecibo
2016-07-31,15:00:00,9,Otros,18.37361904,-65.89270639,Carolina
2016-07-31,10:30:00,9,Otros,18.32926413,-66.96296053,Aguadilla
2016-07-31,16:58:00,3,Robo,18.40418313,-66.05453249,San Juan
2016-07-31,17:11:00,9,Otros,18.19193747,-66.73451593,Utuado
2016-07-31,21:00:00,9,Otros,NA,NA,Carolina
2016-07-31,21:56:00,6,Apropiacion Ilegal,18.45203061,-66.06385605,San Juan
2016-07-31,18:00:00,6,Apropiacion Ilegal,18.0377582,-66.1787817,Guayama
2016-07-31,20:56:00,6,Apropiacion Ilegal,18.22753632,-65.92568933,Caguas
2016-07-31,19:01:00,6,Apropiacion Ilegal,17.97352458,-66.1144293,Guayama
2016-07-31,14:23:00,9,Otros,18.49737596,-67.0160833,Aguadilla
2016-07-31,23:00:00,4,Agresion Agravada,18.1722534,-66.16620057,Caguas
2016-07-31,15:06:00,9,Otros,NA,NA,Aguadilla
2016-07-31,22:30:00,5,Escalamiento,18.41553085,-66.17396237,Bayamon
2016-07-31,16:30:00,9,Otros,NA,NA,Aguadilla
2016-07-31,18:33:00,6,Apropiacion Ilegal,18.2544201,-65.97721036,Caguas
2016-07-31,19:16:00,6,Apropiacion Ilegal,18.42472271,-66.07520622,San Juan
2016-07-31,14:28:00,9,Otros,NA,NA,Aguadilla
2016-07-31,11:28:00,9,Otros,18.18556993,-66.76910392,Utuado
2016-07-31,20:15:00,9,Otros,18.40627996,-65.96658514,Carolina
2016-07-31,19:30:00,9,Otros,NA,NA,Aguadilla
2016-07-31,16:57:00,6,Apropiacion Ilegal,18.44751044,-66.07574504,San Juan
2016-07-31,22:26:00,9,Otros,NA,NA,Carolina
2016-07-31,22:00:00,9,Otros,18.42701429,-65.98787032,Carolina
2016-07-31,15:30:00,4,Agresion Agravada,18.20926582,-66.61972222,Utuado
2016-07-31,14:47:00,9,Otros,NA,NA,Aguadilla
2016-07-31,18:39:00,6,Apropiacion Ilegal,18.40314033,-66.0555646,San Juan
2016-07-31,19:00:00,6,Apropiacion Ilegal,18.23802443,-66.47599541,Aibonito
2016-07-31,15:00:00,6,Apropiacion Ilegal,18.21927877,-66.22631207,Aibonito
2016-07-31,19:00:00,6,Apropiacion Ilegal,18.47850723,-66.77053789,Arecibo
2016-07-31,21:03:00,9,Otros,18.39133185,-65.95946434,Carolina
2016-07-31,01:00:00,7,Vehiculo Hurtado,18.31313002,-66.39707281,Arecibo
2016-07-31,11:00:00,6,Apropiacion Ilegal,18.05960675,-67.0851286,Mayaguez
2016-07-31,19:52:00,3,Robo,18.37846026,-65.90165204,Carolina
2016-07-31,06:00:00,3,Robo,18.40970243,-65.97625001,Carolina
2016-07-31,00:26:00,5,Escalamiento,18.14765871,-66.27657366,Aibonito
2016-07-31,15:40:00,4,Agresion Agravada,18.01622234,-66.63066485,Ponce
2016-07-31,23:30:00,3,Robo,18.42069761,-66.05727273,San Juan
2016-07-31,10:13:00,5,Escalamiento,18.40111457,-66.01107352,San Juan
2016-07-31,15:30:00,4,Agresion Agravada,18.20919373,-66.61964872,Utuado
2016-07-31,03:10:00,4,Agresion Agravada,18.44698267,-66.67498916,Arecibo
2016-07-31,12:43:00,6,Apropiacion Ilegal,18.36914619,-66.07679317,San Juan
2016-07-31,06:11:00,4,Agresion Agravada,18.4332689,-66.04830318,San Juan
2016-07-31,22:47:00,9,Otros,18.39060837,-65.96384081,Carolina
2016-07-31,17:12:00,6,Apropiacion Ilegal,18.4264976,-66.05356144,San Juan
2016-07-31,01:56:00,4,Agresion Agravada,18.11194287,-66.1515234,Guayama
2016-07-31,21:00:00,6,Apropiacion Ilegal,18.38173948,-65.96400538,Carolina
2016-07-31,15:00:00,9,Otros,18.38677462,-65.87193092,Carolina
2016-07-31,21:04:00,9,Otros,NA,NA,Carolina
2016-07-31,14:09:00,9,Otros,NA,NA,Aguadilla
2016-07-31,10:02:00,7,Vehiculo Hurtado,18.46003898,-66.08739373,San Juan
2016-07-31,10:14:00,5,Escalamiento,18.27733502,-66.7093873,Utuado
2016-07-31,00:24:00,9,Otros,18.21073677,-66.59529076,Utuado
2016-07-31,04:46:00,6,Apropiacion Ilegal,18.40082747,-66.08715212,San Juan
2016-07-31,11:30:00,5,Escalamiento,18.29274504,-67.19848037,Mayaguez
2016-07-31,14:30:00,9,Otros,18.31729784,-67.21773543,Aguadilla
2016-07-31,18:30:00,6,Apropiacion Ilegal,18.28412413,-66.25927383,Bayamon
2016-07-31,15:28:00,5,Escalamiento,18.22231781,-66.58630155,Utuado
2016-07-31,19:06:00,7,Vehiculo Hurtado,NA,NA,Aguadilla
2016-07-31,19:00:00,9,Otros,18.43353776,-65.87637693,Carolina
2016-07-31,01:10:00,5,Escalamiento,18.22314624,-66.31402875,Aibonito
2016-07-31,02:15:00,7,Vehiculo Hurtado,18.43809788,-66.17962278,Bayamon
2016-07-31,15:01:00,6,Apropiacion Ilegal,18.37534288,-65.92729647,Carolina
2016-07-31,15:01:00,9,Otros,18.50107607,-67.02902586,Aguadilla
2016-07-31,19:00:00,6,Apropiacion Ilegal,18.4314643,-66.56451158,Arecibo
2016-07-31,12:25:00,9,Otros,18.50447545,-67.07221882,Aguadilla
2016-07-31,05:00:00,6,Apropiacion Ilegal,18.23904192,-66.0196927,Caguas
2016-07-31,14:41:00,9,Otros,NA,NA,Aguadilla
2016-07-31,09:15:00,5,Escalamiento,NA,NA,Carolina
2016-07-31,07:04:00,9,Otros,18.25138784,-66.73563381,Utuado
2016-07-31,20:21:00,6,Apropiacion Ilegal,18.36970726,-66.06772073,San Juan
2016-07-31,05:31:00,4,Agresion Agravada,18.40062964,-66.15465629,Bayamon
2016-07-31,12:00:00,9,Otros,18.44214108,-66.02957292,Carolina
2016-07-31,21:29:00,4,Agresion Agravada,18.37113553,-66.19815567,Bayamon
2016-07-31,21:29:00,4,Agresion Agravada,18.37113553,-66.19815567,Bayamon
2016-07-31,01:00:00,6,Apropiacion Ilegal,18.07732628,-66.98280092,Mayaguez
2016-07-31,17:48:00,6,Apropiacion Ilegal,18.44771663,-66.07541035,San Juan
2016-07-31,13:00:00,6,Apropiacion Ilegal,18.36039554,-66.56739142,Arecibo
2016-07-31,14:52:00,7,Vehiculo Hurtado,18.41806251,-66.05282536,San Juan
2016-07-31,14:00:00,5,Escalamiento,18.22476685,-66.03595696,Caguas
2016-07-31,20:28:00,9,Otros,18.3763726,-65.92629705,Carolina
2016-07-31,01:06:00,9,Otros,NA,NA,Aguadilla
2016-07-31,04:40:00,7,Vehiculo Hurtado,18.41869342,-66.06343393,San Juan
2016-07-31,19:37:00,9,Otros,NA,NA,Aguadilla
2016-07-31,07:00:00,3,Robo,18.04304576,-66.45865649,Ponce
2016-07-31,06:50:00,3,Robo,18.10957284,-67.06769919,Mayaguez
2016-07-31,20:20:00,6,Apropiacion Ilegal,18.37807413,-66.02583834,Carolina
2016-07-31,21:00:00,9,Otros,NA,NA,Aguadilla
2016-07-31,18:50:00,9,Otros,18.21931819,-66.59504535,Utuado
2016-07-31,13:20:00,6,Apropiacion Ilegal,18.45399098,-66.07366522,San Juan
2016-07-31,16:28:00,6,Apropiacion Ilegal,18.37936418,-66.031319,San Juan
2016-07-31,23:18:00,9,Otros,NA,NA,Aguadilla
2016-07-30,07:29:00,9,Otros,NA,NA,Aguadilla
2016-07-30,10:00:00,7,Vehiculo Hurtado,18.39903176,-66.08630197,San Juan
2016-07-30,18:30:00,6,Apropiacion Ilegal,18.39818461,-66.77996746,Arecibo
2016-07-30,14:20:00,9,Otros,18.37733931,-65.90105359,Carolina
2016-07-30,21:01:00,9,Otros,18.32156068,-66.88429015,Utuado
2016-07-30,19:45:00,6,Apropiacion Ilegal,18.453023,-66.1865431,Bayamon
2016-07-30,14:15:00,6,Apropiacion Ilegal,18.16904776,-66.16035886,Caguas
2016-07-30,15:44:00,9,Otros,18.41677409,-65.97196937,Carolina
2016-07-30,17:40:00,9,Otros,18.29341129,-66.87627798,Utuado
2016-07-30,01:34:00,5,Escalamiento,18.05426393,-66.4026087,Aibonito
2016-07-30,12:27:00,6,Apropiacion Ilegal,18.40247019,-66.15604888,Bayamon
2016-07-30,15:31:00,6,Apropiacion Ilegal,18.24717531,-67.17376758,Mayaguez
2016-07-30,17:43:00,3,Robo,18.40204737,-66.04142118,San Juan
2016-07-30,01:07:00,9,Otros,18.49998818,-67.06447214,Aguadilla
2016-07-30,11:19:00,4,Agresion Agravada,18.34289989,-66.07505623,San Juan
2016-07-30,12:30:00,5,Escalamiento,17.97268839,-66.59570687,Ponce
2016-07-30,07:34:00,9,Otros,18.39332469,-67.0383112,Aguadilla
2016-07-30,15:27:00,9,Otros,18.19646201,-66.79210854,Utuado
2016-07-30,10:00:00,9,Otros,NA,NA,Aguadilla
2016-07-30,17:58:00,6,Apropiacion Ilegal,NA,NA,Fajardo
2016-07-30,15:00:00,5,Escalamiento,18.38570535,-66.84647674,Arecibo
2016-07-30,11:19:00,9,Otros,18.1633774,-66.72706332,Utuado
2016-07-30,18:36:00,6,Apropiacion Ilegal,18.18355267,-66.29789818,Aibonito
2016-07-30,07:46:00,9,Otros,18.37201856,-67.04498583,Aguadilla
2016-07-30,21:30:00,9,Otros,18.44240041,-66.01694348,Carolina
2016-07-30,20:30:00,6,Apropiacion Ilegal,18.03227804,-66.03269363,Guayama
2016-07-30,15:00:00,9,Otros,18.44007532,-66.0200694,Carolina
2016-07-30,09:00:00,5,Escalamiento,18.22579193,-66.5917139,Utuado
2016-07-30,09:00:00,6,Apropiacion Ilegal,18.43206735,-66.55133461,Arecibo
2016-07-30,13:14:00,6,Apropiacion Ilegal,18.20597229,-66.11124749,Caguas
2016-07-30,08:00:00,5,Escalamiento,18.46964379,-66.88053708,Arecibo
2016-07-30,11:17:00,6,Apropiacion Ilegal,18.42528213,-65.97241964,Carolina
2016-07-30,07:23:00,9,Otros,NA,NA,Aguadilla
2016-07-30,23:21:00,3,Robo,18.42246015,-65.82968329,Fajardo
2016-07-30,08:00:00,9,Otros,18.39465783,-65.88851352,Carolina
2016-07-30,21:10:00,9,Otros,18.40605347,-65.9664634,Carolina
2016-07-30,07:40:00,9,Otros,18.50107607,-67.02902586,Aguadilla
2016-07-30,10:23:00,6,Apropiacion Ilegal,18.44994322,-66.07328147,San Juan
2016-07-30,19:00:00,9,Otros,NA,NA,Aguadilla
2016-07-30,22:00:00,9,Otros,18.35714416,-67.04833102,Aguadilla
2016-07-30,15:12:00,9,Otros,18.39213906,-65.97541023,Carolina
2016-07-30,16:53:00,4,Agresion Agravada,18.12797714,-66.00853711,Caguas
2016-07-30,18:00:00,6,Apropiacion Ilegal,18.07705611,-66.12984091,Guayama
2016-07-30,11:00:00,6,Apropiacion Ilegal,18.4509225,-66.54178699,Arecibo
2016-07-30,02:36:00,6,Apropiacion Ilegal,18.14927164,-66.10823268,Caguas
2016-07-30,00:14:00,5,Escalamiento,18.38251269,-65.84162533,Fajardo
2016-07-30,07:52:00,9,Otros,18.40173832,-66.17635823,Aguadilla
2016-07-30,11:30:00,9,Otros,NA,NA,Carolina
2016-07-30,09:30:00,3,Robo,18.38074614,-65.96218385,Carolina
2016-07-30,22:30:00,6,Apropiacion Ilegal,18.47246591,-66.48514074,Arecibo
2016-07-30,02:30:00,9,Otros,18.37941201,-67.18505855,Aguadilla
2016-07-30,22:10:00,6,Apropiacion Ilegal,17.98217172,-66.29086011,Guayama
2016-07-30,15:52:00,6,Apropiacion Ilegal,18.40442443,-66.04794547,San Juan
2016-07-30,17:18:00,6,Apropiacion Ilegal,18.40085497,-66.09275579,San Juan
2016-07-30,20:57:00,7,Vehiculo Hurtado,18.42302099,-66.04660236,San Juan
2016-07-30,00:58:00,9,Otros,18.41591236,-65.99772831,Carolina
2016-07-30,19:30:00,5,Escalamiento,18.36274396,-66.55093585,Arecibo
2016-07-30,01:33:00,7,Vehiculo Hurtado,18.40926111,-66.08258757,San Juan
2016-07-30,07:16:00,9,Otros,NA,NA,Aguadilla
2016-07-30,17:45:00,9,Otros,NA,NA,Aguadilla
2016-07-30,14:00:00,6,Apropiacion Ilegal,NA,NA,Aguadilla
2016-07-30,09:23:00,5,Escalamiento,18.47391991,-66.93724917,Arecibo
2016-07-30,14:55:00,5,Escalamiento,18.21264366,-66.23508071,Aibonito
2016-07-30,05:00:00,6,Apropiacion Ilegal,18.43139465,-65.97975303,Carolina
2016-07-30,02:10:00,9,Otros,NA,NA,Aguadilla
2016-07-30,16:15:00,6,Apropiacion Ilegal,17.97527619,-66.29504484,Guayama
